Time Entry,Deal,Symbol,Type,Volume,Price Entry,S / L,T / P,Time Exit,Price Exit,Commission,Swap,Profit,Comment
2020.01.03 20:37:40,2,XAUUSD,buy,0.25,1551.46,1547.53,1558.29,2020.01.03 21:22:40,1547.53,-0.35,0.0,-98.25,XAU_M5_2020-2025
2020.01.07 16:44:40,4,XAUUSD,buy,0.12,1570.71,1562.64,1583.51,2020.01.08 01:22:40,1583.51,-0.17,-10.92,153.6,XAU_M5_2020-2025
2020.01.08 15:24:40,6,XAUUSD,buy,0.08,1570.71,1558.34,1589.03,2020.01.08 18:40:40,1558.34,-0.11,0.0,-98.96,XAU_M5_2020-2025
2020.01.10 17:45:40,8,XAUUSD,buy,0.12,1556.58,1548.6,1571.2,2020.01.10 23:00:00,1560.27,-0.17,0.0,44.28,XAU_M5_2020-2025
2020.01.13 03:33:40,10,XAUUSD,buy,0.18,1556.58,1551.28,1565.03,2020.01.13 10:40:40,1551.28,-0.25,0.0,-95.4,XAU_M5_2020-2025
2020.01.14 20:37:20,12,XAUUSD,buy,0.22,1548.85,1544.47,1555.69,2020.01.14 20:54:40,1544.47,-0.31,0.0,-96.36,XAU_M5_2020-2025
2020.01.15 01:31:40,14,XAUUSD,buy,0.3,1548.85,1545.61,1553.81,2020.01.15 08:03:40,1553.81,-0.42,0.0,148.8,XAU_M5_2020-2025
2020.01.15 15:28:40,16,XAUUSD,buy,0.13,1548.85,1541.33,1559.03,2020.01.15 16:50:40,1549.6,-0.18,0.0,9.75,XAU_M5_2020-2025
2020.01.15 20:00:40,18,XAUUSD,buy,0.26,1554.82,1551.09,1562.14,2020.01.16 16:36:40,1551.09,-0.36,-70.98,-96.98,XAU_M5_2020-2025
2020.01.17 14:16:40,20,XAUUSD,buy,0.47,1558.06,1555.95,1562.33,2020.01.17 15:41:40,1555.95,-0.66,0.0,-99.17,XAU_M5_2020-2025
2020.01.17 20:25:40,22,XAUUSD,buy,0.25,1560.73,1556.74,1567.64,2020.01.17 22:55:40,1556.74,-0.35,0.0,-99.75,XAU_M5_2020-2025
2020.01.20 07:35:40,24,XAUUSD,buy,0.6,1560.73,1559.09,1563.43,2020.01.20 15:00:40,1559.09,-0.84,0.0,-98.4,XAU_M5_2020-2025
2020.01.20 15:30:40,26,XAUUSD,buy,0.3,1560.73,1557.49,1565.68,2020.01.21 03:19:40,1565.68,-0.42,-27.3,148.5,XAU_M5_2020-2025
2020.01.22 23:00:40,28,XAUUSD,buy,0.42,1559.22,1556.88,1563.39,2020.01.23 01:32:40,1563.39,-0.59,-114.66,175.14,XAU_M5_2020-2025
2020.01.23 05:56:20,30,XAUUSD,buy,0.33,1559.22,1556.27,1565.52,2020.01.23 08:26:40,1556.27,-0.46,0.0,-97.35,XAU_M5_2020-2025
2020.01.23 16:44:40,32,XAUUSD,buy,0.1,1563.71,1554.39,1578.26,2020.01.24 23:00:00,1571.55,-0.14,-9.1,78.4,XAU_M5_2020-2025
2020.01.29 16:57:40,34,XAUUSD,buy,0.11,1572.44,1563.86,1585.4,2020.01.30 16:36:40,1573.19,-0.16,-30.03,8.25,XAU_M5_2020-2025
2020.01.30 17:40:40,36,XAUUSD,buy,0.09,1583.03,1572.19,1601.42,2020.01.31 03:03:40,1572.19,-0.13,-8.19,-97.56,XAU_M5_2020-2025
2020.01.31 16:30:40,38,XAUUSD,buy,0.14,1582.19,1575.5,1594.12,2020.01.31 23:00:00,1586.72,-0.2,0.0,63.42,XAU_M5_2020-2025
2020.02.06 11:24:40,40,XAUUSD,buy,0.19,1562.41,1557.19,1571.21,2020.02.07 08:30:20,1563.16,-0.27,-17.29,14.25,XAU_M5_2020-2025
2020.02.07 10:02:40,42,XAUUSD,buy,0.21,1567.59,1562.99,1575.86,2020.02.07 15:30:40,1562.99,-0.3,0.0,-96.6,XAU_M5_2020-2025
2020.02.07 15:35:40,44,XAUUSD,buy,0.08,1567.59,1555.79,1581.75,2020.02.07 23:00:00,1570.01,-0.11,0.0,19.36,XAU_M5_2020-2025
2020.02.10 01:08:40,46,XAUUSD,buy,0.56,1570.22,1568.44,1574.05,2020.02.10 01:32:40,1574.05,-0.79,0.0,214.48,XAU_M5_2020-2025
2020.02.10 04:20:40,48,XAUUSD,buy,0.19,1570.22,1565.09,1579.95,2020.02.11 02:25:40,1570.97,-0.27,-17.29,14.25,XAU_M5_2020-2025
2020.02.11 16:40:40,50,XAUUSD,buy,0.16,1573.96,1567.99,1584.11,2020.02.11 17:28:40,1567.99,-0.23,0.0,-95.52,XAU_M5_2020-2025
2020.02.12 18:31:00,52,XAUUSD,buy,0.19,1568.55,1563.54,1577.46,2020.02.13 12:10:40,1577.46,-0.27,-51.87,169.29,XAU_M5_2020-2025
2020.02.13 17:04:40,54,XAUUSD,buy,0.09,1577.5,1567.0,1592.28,2020.02.14 23:00:00,1582.61,-0.13,-8.19,45.99,XAU_M5_2020-2025
2020.02.17 10:39:40,56,XAUUSD,buy,0.3,1580.59,1577.32,1586.0,2020.02.18 02:38:40,1586.0,-0.43,-27.3,162.3,XAU_M5_2020-2025
2020.02.18 16:10:40,58,XAUUSD,buy,0.18,1591.88,1586.41,1600.92,2020.02.18 18:00:40,1600.92,-0.26,0.0,162.72,XAU_M5_2020-2025
2020.02.19 22:49:40,60,XAUUSD,buy,0.22,1611.29,1606.85,1619.7,2020.02.20 03:11:40,1606.85,-0.32,-60.06,-97.68,XAU_M5_2020-2025
2020.02.20 04:40:40,62,XAUUSD,buy,0.2,1611.29,1606.46,1619.86,2020.02.20 08:47:40,1606.46,-0.29,0.0,-96.6,XAU_M5_2020-2025
2020.02.20 13:00:40,64,XAUUSD,buy,0.29,1611.29,1607.91,1617.89,2020.02.20 14:22:40,1617.89,-0.42,0.0,191.4,XAU_M5_2020-2025
2020.02.20 17:03:40,66,XAUUSD,buy,0.13,1619.15,1611.63,1632.5,2020.02.21 09:04:40,1632.5,-0.19,-11.83,173.55,XAU_M5_2020-2025
2020.02.21 16:45:40,68,XAUUSD,buy,0.1,1645.5,1635.95,1661.87,2020.02.21 23:00:00,1643.53,-0.15,0.0,-19.7,XAU_M5_2020-2025
2020.02.27 16:31:40,70,XAUUSD,buy,0.09,1654.23,1644.09,1673.07,2020.02.27 18:06:40,1644.09,-0.13,0.0,-91.26,XAU_M5_2020-2025
2020.02.27 18:38:40,72,XAUUSD,buy,0.05,1654.23,1636.73,1685.08,2020.02.27 22:37:40,1636.73,-0.07,0.0,-87.5,XAU_M5_2020-2025
2020.03.03 16:53:40,74,XAUUSD,buy,0.11,1605.86,1596.99,1621.87,2020.03.03 17:01:40,1621.87,-0.16,0.0,176.11,XAU_M5_2020-2025
2020.03.05 14:23:40,76,XAUUSD,buy,0.09,1653.13,1642.87,1668.16,2020.03.05 20:14:40,1668.16,-0.14,0.0,135.27,XAU_M5_2020-2025
2020.03.06 22:03:40,78,XAUUSD,buy,0.05,1689.94,1671.53,1719.54,2020.03.06 22:24:40,1671.53,-0.08,0.0,-92.05,XAU_M5_2020-2025
2020.03.24 17:39:40,80,XAUUSD,buy,0.02,1616.58,1573.67,1701.05,2020.03.26 21:18:40,1617.33,-0.03,-7.28,1.5,XAU_M5_2020-2025
2020.03.27 21:05:40,82,XAUUSD,buy,0.07,1630.91,1617.98,1652.76,2020.03.27 22:45:40,1617.98,-0.1,0.0,-90.51,XAU_M5_2020-2025
2020.03.30 01:13:40,84,XAUUSD,buy,0.05,1630.91,1611.57,1658.73,2020.03.30 08:14:40,1611.57,-0.07,0.0,-96.7,XAU_M5_2020-2025
2020.04.02 16:24:20,86,XAUUSD,buy,0.04,1610.44,1589.47,1644.46,2020.04.03 23:00:00,1622.13,-0.06,-3.64,46.76,XAU_M5_2020-2025
2020.04.06 03:02:40,88,XAUUSD,buy,0.09,1621.73,1610.77,1640.36,2020.04.06 14:21:40,1640.36,-0.13,0.0,167.67,XAU_M5_2020-2025
2020.04.06 16:47:40,90,XAUUSD,buy,0.06,1644.52,1629.93,1669.91,2020.04.07 02:15:40,1669.91,-0.09,-5.46,152.34,XAU_M5_2020-2025
2020.04.08 16:06:40,92,XAUUSD,buy,0.05,1655.3,1637.67,1683.78,2020.04.09 16:46:40,1683.78,-0.08,-13.65,142.4,XAU_M5_2020-2025
2020.04.09 17:28:40,94,XAUUSD,buy,0.04,1673.93,1652.62,1708.91,2020.04.13 18:24:40,1708.91,-0.06,-3.64,139.92,XAU_M5_2020-2025
